coffee_id,Farm_Name,Country_of_Origin,Region,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Total_Cup_Points,classe
#647123,san francisco cotzal,Guatemala,quiche,7.83,7.92,7.75,8.0,7.75,7.75,10.0,10.0,10.0,84.92,Muito Bom
#927000,San jose del lago,Guatemala,Atitlán,7.58,7.83,7.58,7.75,7.67,7.75,10.0,10.0,10.0,83.92,Muito Bom
#902618,varias fincas,Guatemala,Oriente Santa rosa,7.67,7.83,7.67,7.83,7.75,7.67,10.0,10.0,10.0,84.08,Muito Bom
#781706,San jose del lago,Guatemala,Atitlán,7.58,7.92,7.67,7.75,7.83,7.75,10.0,10.0,10.0,84.25,Muito Bom
#237025,Finca Alta Luz,Guatemala,Huehuetenango,7.67,7.83,7.75,7.75,7.83,7.75,10.0,10.0,10.0,84.33,Muito Bom
#932904,varias fincas,Guatemala,Sierra de las minas,7.67,7.92,7.67,7.75,7.67,7.58,10.0,10.0,10.0,84.0,Muito Bom
#614786,PEÑA BLANCA,Guatemala,Santa Rosa,7.67,8.0,7.75,7.92,8.0,7.83,10.0,10.0,10.0,85.0,Excelente
#975481,Varias Fincas,Guatemala,Huehuetenango,7.67,8.0,7.67,7.83,7.92,7.67,10.0,10.0,10.0,84.67,Muito Bom
#938229,varias fincas,Guatemala,Antigua,7.67,8.08,7.67,8.0,7.92,7.83,10.0,10.0,10.0,85.0,Excelente
#797284,Fina las Rosas,Guatemala,Huehuetenango,7.67,7.92,7.67,7.75,7.75,7.75,10.0,10.0,10.0,84.25,Muito Bom
#300191,Fazenda Recreio,Brazil,Região Vulcânica,7.83,8.08,7.83,7.92,8.0,7.83,10.0,10.0,10.0,85.5,Excelente
#914711,Fazenda Conquista e Capoeirinha,Brazil,Sul de Minas,7.58,7.5,7.5,7.83,7.67,7.5,10.0,10.0,10.0,83.25,Muito Bom
#319783,Fazenda Conquista,Brazil,Sul de Minas,7.17,7.17,6.92,7.17,7.42,7.17,10.0,10.0,10.0,80.08,Muito Bom
#421693,Bethel,Honduras,los planes de santa maria la paz,7.67,7.58,7.33,7.5,7.58,7.5,10.0,10.0,10.0,82.67,Muito Bom
#102399,Bethel,Honduras,"Los Planes de Santa Maria, La Paz",7.75,7.58,7.58,7.58,7.58,7.5,10.0,10.0,10.0,83.08,Muito Bom
#915144,Varias,Honduras,Marcala,7.67,7.58,7.5,7.5,7.58,7.5,10.0,10.0,10.0,82.83,Muito Bom
#442273,varias,Honduras,Marcala,7.75,7.58,7.58,7.58,7.5,7.58,10.0,10.0,10.0,83.25,Muito Bom
#183019,varias,Honduras,Marcala,7.75,7.67,7.58,7.58,7.58,7.67,10.0,10.0,10.0,83.5,Muito Bom
#176177,La Cuchilla,Honduras,"Centro, Lagunetillas-Ajuterique, Comayagua",7.75,7.75,7.58,7.83,7.75,7.75,10.0,10.0,10.0,84.17,Muito Bom
#748155,La Cuchilla,Honduras,"Centro, Lagunetillas-Ajuterique, Comayagua",7.83,7.92,7.75,7.75,7.75,7.75,10.0,10.0,10.0,84.5,Muito Bom
#858598,N / A,Colombia,Cauca,7.92,7.75,7.42,7.58,7.92,7.67,10.0,10.0,10.0,83.83,Muito Bom
#329719,La fortaleza,Colombia,Popayán Cauca,7.75,7.75,7.5,7.58,7.83,7.5,10.0,10.0,10.0,83.5,Muito Bom
#449544,EL PRADO,Colombia,HUILA,8.0,7.67,7.42,7.58,7.58,7.42,10.0,10.0,10.0,83.0,Muito Bom
#882894,Huila,Colombia,Huila,7.75,7.67,7.67,7.75,7.75,7.75,10.0,10.0,10.0,84.08,Muito Bom
#208327,Gaia Farms,Vietnam,Lam Dong Province,7.5,7.5,7.25,7.42,7.42,7.42,10.0,10.0,10.0,81.83,Muito Bom
#274853,,Colombia,,7.83,7.75,7.5,7.58,7.67,7.67,10.0,10.0,10.0,83.67,Muito Bom
#829408,"Rosario de Maria II, Area de Loma Alta",El Salvador,"Volcan Chinchontepek, San Vicente, El Salvador",7.42,7.33,7.33,7.5,7.08,7.0,10.0,10.0,10.0,80.83,Muito Bom
#181854,"Rosario de Maria II, Area de Menjivar",El Salvador,"Volcan Chinchontepek, San Vicente, El Salvador",7.08,7.25,7.08,7.42,7.42,7.08,10.0,10.0,10.0,80.33,Muito Bom
#322731,Agua Caliente,El Salvador,Apaneca - Ilamatepec,7.33,7.67,7.25,7.67,7.83,7.42,10.0,10.0,10.0,82.33,Muito Bom
#112317,Agua Caliente,El Salvador,Apaneca - Ilamatepec,7.5,7.5,7.42,7.42,7.42,7.67,10.0,10.0,10.0,82.33,Muito Bom
#840458,Agua Caliente,El Salvador,Apaneca - Ilamatepec,7.67,7.33,7.17,7.67,7.83,7.5,10.0,10.0,10.0,82.5,Muito Bom
#955194,Mandroso,Madagascar,Itasy,7.92,7.92,7.58,7.75,7.58,7.67,10.0,10.0,10.0,84.25,Muito Bom
#847918,Wahana Graha Makmur,Indonesia,Sumatra,7.67,7.33,7.25,7.67,7.42,7.25,10.0,10.0,10.0,82.0,Muito Bom
#119514,COO,Colombia,Huila,7.67,7.83,7.58,7.92,7.67,7.67,10.0,10.0,10.0,84.0,Muito Bom
#350205,PT Indo CafCo North Sumatera,Indonesia,Aceh Tengah,7.83,7.92,7.75,7.83,7.83,7.83,10.0,10.0,10.0,84.83,Muito Bom
#617945,東璧咖啡莊園,Taiwan,"Shibi, Gukeng Township, Yunlin County 郵遞區號 , Taiwan (R.O.C.)",8.0,8.17,8.0,7.92,7.92,7.92,10.0,10.0,10.0,86.08,Excelente
#356700,永舜咖啡莊園,Taiwan,"Caoling , Gukeng Township, Yunlin County",7.67,7.67,7.75,7.75,7.5,7.67,10.0,10.0,10.0,83.67,Muito Bom
#814850,櫻桃果古坑咖啡莊園,Taiwan,"Gukeng Township, Yunlin County",8.08,8.17,7.75,7.92,7.83,8.0,10.0,10.0,10.0,85.92,Excelente
#259403,皇庭咖啡莊園,Taiwan,"Caoling , Gukeng Township, Yunlin County",7.75,7.92,7.75,8.0,7.83,7.92,10.0,10.0,10.0,85.17,Excelente
#409732,TRACON TRADING PLC,Ethiopia,Ethiopia,7.92,7.83,7.75,7.92,7.58,7.67,10.0,10.0,10.0,84.5,Muito Bom
#280845,嵩岳咖啡莊園,Taiwan,"Shibi, Gukeng Township, Yunlin County 郵遞區號 , Taiwan (R.O.C.)",7.67,7.5,7.42,7.75,7.42,7.58,10.0,10.0,10.0,82.92,Muito Bom
#994915,La Santa,Panama,Boquete,7.83,7.83,7.75,7.92,7.83,7.75,10.0,10.0,10.0,84.75,Muito Bom
#594815,San Diego Mill,Costa Rica,Corralillo Tarrazu,7.42,7.42,7.42,7.33,7.58,7.33,10.0,10.0,10.0,82.0,Muito Bom
#793199,HACIENDA SAN IGNACIO,Costa Rica,occidente,7.33,7.42,7.25,7.42,7.42,7.33,10.0,10.0,10.0,81.58,Muito Bom
