Moisture,Category_One_Defects,Category_Two_Defects,Quakers,Altitude,Variety,Processing_Method,Country_of_Origin,Color,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Total_Cup_Points,Classe
0.1169999999999999,0,1,3.0,1600.0,Caturra,Washed / Wet,Guatemala,Green,7.83,7.92,7.75,8.0,7.75,7.75,10.0,10.0,10.0,84.92,Gourmet
0.1,0,2,1.0,1600.0,Bourbon,Washed / Wet,Guatemala,Green,7.58,7.83,7.58,7.75,7.67,7.75,10.0,10.0,10.0,83.92,Superior
0.11,0,2,1.0,1550.0,Caturra,Washed / Wet,Guatemala,Green,7.67,7.83,7.67,7.83,7.75,7.67,10.0,10.0,10.0,84.08,Gourmet
0.1,0,1,0.0,1600.0,Typica,Washed / Wet,Guatemala,Green,7.58,7.92,7.67,7.75,7.83,7.75,10.0,10.0,10.0,84.25,Gourmet
0.092,0,5,1.0,1350.0,Bourbon,Washed / Wet,Guatemala,Green,7.67,7.83,7.75,7.75,7.83,7.75,10.0,10.0,10.0,84.33,Gourmet
0.11,0,2,2.0,1550.0,Caturra,Washed / Wet,Guatemala,Green,7.67,7.92,7.67,7.75,7.67,7.58,10.0,10.0,10.0,84.0,Gourmet
0.113,0,4,0.0,1432.0,Catuai,Washed / Wet,Guatemala,Green,7.67,8.0,7.75,7.92,8.0,7.83,10.0,10.0,10.0,85.0,Gourmet
0.106,0,1,0.0,1600.0,Caturra,Washed / Wet,Guatemala,Green,7.67,8.0,7.67,7.83,7.92,7.67,10.0,10.0,10.0,84.67,Gourmet
0.099,0,1,1.0,1600.0,Caturra,Washed / Wet,Guatemala,Green,7.67,8.08,7.67,8.0,7.92,7.83,10.0,10.0,10.0,85.0,Gourmet
0.107,0,3,1.0,1500.0,Bourbon,Washed / Wet,Guatemala,Green,7.67,7.92,7.67,7.75,7.75,7.75,10.0,10.0,10.0,84.25,Gourmet
0.113,2,3,0.0,1250.0,Unknown,Pulped natural / honey,Brazil,Green,7.83,8.08,7.83,7.92,8.0,7.83,10.0,10.0,10.0,85.5,Gourmet
0.1159999999999999,0,4,0.0,950.0,Mundo Novo,Natural / Dry,Brazil,Green,7.58,7.5,7.5,7.83,7.67,7.5,10.0,10.0,10.0,83.25,Superior
0.114,0,4,0.0,950.0,Mundo Novo,Natural / Dry,Brazil,Green,7.17,7.17,6.92,7.17,7.42,7.17,10.0,10.0,10.0,80.08,Tradicional
0.096,0,2,0.0,1450.0,Catuai,Washed / Wet,Honduras,Green,7.67,7.58,7.33,7.5,7.58,7.5,10.0,10.0,10.0,82.67,Superior
0.096,0,2,0.0,1450.0,Catuai,Washed / Wet,Honduras,Green,7.75,7.58,7.58,7.58,7.58,7.5,10.0,10.0,10.0,83.08,Superior
0.1,0,4,0.0,1280.0,Catuai,Washed / Wet,Honduras,Green,7.67,7.58,7.5,7.5,7.58,7.5,10.0,10.0,10.0,82.83,Superior
0.113,0,5,1.0,1400.0,Catuai,Washed / Wet,Honduras,Green,7.75,7.58,7.58,7.58,7.5,7.58,10.0,10.0,10.0,83.25,Superior
0.1119999999999999,0,5,1.0,1400.0,SHG,Washed / Wet,Honduras,Green,7.75,7.67,7.58,7.58,7.58,7.67,10.0,10.0,10.0,83.5,Superior
0.102,0,2,0.0,1368.0,Catuai,Washed / Wet,Honduras,Green,7.75,7.75,7.58,7.83,7.75,7.75,10.0,10.0,10.0,84.17,Gourmet
0.098,0,3,0.0,1368.0,Catuai,Washed / Wet,Honduras,Green,7.83,7.92,7.75,7.75,7.75,7.75,10.0,10.0,10.0,84.5,Gourmet
0.121,2,5,5.0,1700.0,Caturra,Washed / Wet,Colombia,Green,7.92,7.75,7.42,7.58,7.92,7.67,10.0,10.0,10.0,83.83,Superior
0.122,0,2,0.0,1700.0,Caturra,Washed / Wet,Colombia,Bluish-Green,7.75,7.75,7.5,7.58,7.83,7.5,10.0,10.0,10.0,83.5,Superior
0.131,0,1,0.0,1650.0,Caturra,Washed / Wet,Colombia,Bluish-Green,8.0,7.67,7.42,7.58,7.58,7.42,10.0,10.0,10.0,83.0,Superior
0.119,0,0,0.0,1600.0,Unknown,Washed / Wet,Colombia,Green,7.75,7.67,7.67,7.75,7.75,7.75,10.0,10.0,10.0,84.08,Gourmet
0.1119999999999999,0,4,0.0,1646.0,Catimor,Pulped natural / honey,Outros,Green,7.5,7.5,7.25,7.42,7.42,7.42,10.0,10.0,10.0,81.83,Tradicional
0.124,1,9,0.0,1311.0,Unknown,Unknown,Colombia,Greenish,7.83,7.75,7.5,7.58,7.67,7.67,10.0,10.0,10.0,83.67,Superior
0.105,0,7,8.0,1400.0,Bourbon,Natural / Dry,El Salvador,Bluish-Green,7.42,7.33,7.33,7.5,7.08,7.0,10.0,10.0,10.0,80.83,Tradicional
0.115,0,7,10.0,1300.0,Pacas,Natural / Dry,El Salvador,Bluish-Green,7.08,7.25,7.08,7.42,7.42,7.08,10.0,10.0,10.0,80.33,Tradicional
0.118,0,0,0.0,1200.0,Bourbon,Washed / Wet,El Salvador,Bluish-Green,7.33,7.67,7.25,7.67,7.83,7.42,10.0,10.0,10.0,82.33,Tradicional
0.12,0,10,7.0,1200.0,Bourbon,Washed / Wet,El Salvador,Green,7.5,7.5,7.42,7.42,7.42,7.67,10.0,10.0,10.0,82.33,Tradicional
0.113,0,2,0.0,1200.0,Bourbon,Washed / Wet,El Salvador,Green,7.67,7.33,7.17,7.67,7.83,7.5,10.0,10.0,10.0,82.5,Superior
0.121,0,0,0.0,1500.0,Bourbon,Washed / Wet,Outros,Blue-Green,7.92,7.92,7.58,7.75,7.58,7.67,10.0,10.0,10.0,84.25,Gourmet
0.125,0,0,0.0,1350.0,Unknown,Pulped natural / honey,Indonesia,Bluish-Green,7.67,7.33,7.25,7.67,7.42,7.25,10.0,10.0,10.0,82.0,Tradicional
0.133,0,3,2.0,1550.0,Caturra,Washed / Wet,Colombia,Green,7.67,7.83,7.58,7.92,7.67,7.67,10.0,10.0,10.0,84.0,Gourmet
0.119,0,2,3.0,1200.0,Catimor,Unknown,Indonesia,Bluish-Green,7.83,7.92,7.75,7.83,7.83,7.83,10.0,10.0,10.0,84.83,Gourmet
0.103,0,0,0.0,1300.0,Gesha,Natural / Dry,Taiwan,yellow-green,8.0,8.17,8.0,7.92,7.92,7.92,10.0,10.0,10.0,86.08,Gourmet
0.1,0,0,0.0,1250.0,SL34,Washed / Wet,Taiwan,Bluish-Green,7.67,7.67,7.75,7.75,7.5,7.67,10.0,10.0,10.0,83.67,Superior
0.11,0,1,0.0,1200.0,Gesha,Natural / Dry,Taiwan,brownish,8.08,8.17,7.75,7.92,7.83,8.0,10.0,10.0,10.0,85.92,Gourmet
0.103,0,0,0.0,850.0,Gesha,Washed / Wet,Taiwan,Bluish-Green,7.75,7.92,7.75,8.0,7.83,7.92,10.0,10.0,10.0,85.17,Gourmet
0.109,0,9,0.0,1943.0,Ethiopian Heirlooms,Washed / Wet,Ethiopia,Green,7.92,7.83,7.75,7.92,7.58,7.67,10.0,10.0,10.0,84.5,Gourmet
